nc_house_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
021,15779,10793,31588,338,58498,0.5938205629986452,0.40617943700135484,0.5399842729665971,0.0057779753153953985
022,16565,19970,16086,208,52829,0.45340084850143697,0.546599151498563,0.304491851066649,0.003937231444850366
023,28023,11159,15640,188,55010,0.715200857536624,0.28479914246337606,0.28431194328303944,0.003417560443555717
024,19636,13997,15422,213,49268,0.5838313561085838,0.41616864389141617,0.3130226516197126,0.004323293009661443
025,21150,17093,19911,218,58372,0.5530423868420364,0.44695761315796356,0.34110532447063663,0.0037346673062427192
026,17038,22987,26439,500,66964,0.425683947532792,0.574316052467208,0.39482408458276086,0.007466698524580371
027,27370,7757,15195,130,50452,0.7791727161442765,0.2208272838557235,0.3011773566954729,0.002576706572583842
028,12239,22595,17692,357,52883,0.3513521272320147,0.6486478727679853,0.3345498553410359,0.006750751659323412
029,31161,4725,24340,258,60484,0.8683330546731316,0.13166694532686843,0.4024204748363204,0.004265590900072747
030,29572,3793,22428,205,55998,0.8863179979019931,0.1136820020980069,0.40051430408228866,0.0036608450301796494
031,29389,5712,24556,327,59984,0.8372695934588759,0.1627304065411242,0.40937583355561485,0.005451453720992264
032,20520,13029,16725,224,50498,0.6116426719127247,0.38835732808727536,0.33120123569250265,0.004435819240365955
033,24767,8411,22088,352,55618,0.7464886370486467,0.2535113629513533,0.3971376173181344,0.0063288863317630985
034,19872,11819,24181,357,56229,0.6270549998422265,0.3729450001577735,0.43004499457575274,0.006349036973803553
035,16544,20869,29028,430,66871,0.44219923555983215,0.5578007644401679,0.43408951563458004,0.00643029115760195
036,15275,15949,29192,411,60827,0.4892070202408404,0.5107929797591596,0.4799184572640439,0.0067568678382954935
037,17134,21709,30833,545,70221,0.4411090801431403,0.5588909198568597,0.4390851739508124,0.007761211033736347
038,23573,4182,20275,294,48324,0.8493244460457575,0.15067555395424248,0.41956377783296084,0.00608393344921778
039,24160,12282,23882,383,60707,0.6629712968552769,0.3370287031447231,0.3933977959708106,0.006308992373202431
040,18805,12993,27386,378,59562,0.5913893955594691,0.4086106044405309,0.45978979886504817,0.006346328195829556
