house_id,base_population,base_pop_dev,base_pop_score,base_pp,base_compactness_score,base_Fairness,opt_population,opt_pop_dev,opt_pop_score,opt_pp,opt_compactness_score,opt_Fairness,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
10,31989.0,0.03147105948691498,0.6852894051308502,0.33264741192195135,0.6652948238439027,0.6772915726160712,31989.0,0.03147105948691498,0.8426447025654251,0.33264741192195135,0.6652948238439027,0.7717047510768161,0.15735529743457488,0.0,0.09441317846074493,0.6769424806767245,1.6584326006942953
38,31995.0,0.03128939786438603,0.6871060213561397,0.08612790460468135,0.1722558092093627,0.48116593649742895,31995.0,0.03128939786438603,0.8435530106780699,0.08612790460468135,0.1722558092093627,0.5750341300905869,0.15644698932193013,0.0,0.09386819359315796,-1.361918801942251,-0.38609417557521003
68,32007.0,0.03092607461932814,0.6907392538067186,0.6095634008891204,1.0,0.8144435522840312,32007.0,0.03092607461932814,0.8453696269033593,0.6095634008891204,1.0,0.9072217761420156,0.15463037309664063,0.0,0.0927782238579844,2.1027319221467304,3.067225561212716
34,32015.0,0.030683859122622874,0.6931614087737712,0.38161052996503875,0.7632210599300775,0.7211852692362937,32015.0,0.030683859122622874,0.8465807043868856,0.38161052996503875,0.7632210599300775,0.8132368466041624,0.1534192956131144,0.0,0.09205157736786873,1.1332477366395803,2.0901873841715286
0,32022.0,0.03047192056300577,0.6952807943699424,0.36321388176789365,0.7264277635357873,0.7077395820362804,32022.0,0.03047192056300577,0.8476403971849712,0.363230337567879,0.726460675135758,0.7991685083652859,0.1523596028150288,3.291159997065307e-05,0.09142892632900546,0.9934705428323968,1.9439373032862233
55,32033.0,0.03013887425503603,0.6986112574496397,0.19931776558643924,0.3986355311728785,0.5786209669389352,32033.0,0.03013887425503603,0.8493056287248198,0.19931776558643924,0.3986355311728785,0.6690375897040433,0.15069437127518015,0.0,0.09041662276510809,-0.348806532195716,0.5911366343846456
47,32034.0,0.030108597317947874,0.6989140268205213,0.30302374645553953,0.6060474929110791,0.6617674132567444,32034.0,0.030108597317947874,0.8494570134102606,0.30302374645553953,0.6060474929110791,0.752093205210588,0.1505429865897393,0.0,0.0903257919538436,0.5155581349617591,1.4545570526003657
90,32036.0,0.030048043443771558,0.6995195655622845,0.44796103880722,0.89592207761444,0.7780805703831466,32036.0,0.030048043443771558,0.8497597827811423,0.4479674478881504,0.8959348957763008,0.8682298279792057,0.15024021721885783,1.281816186082807e-05,0.09014925759605907,1.724713640674138,2.661877361883242
39,32036.0,0.030048043443771558,0.6995195655622845,0.1442937243680254,0.2885874487360508,0.535146718831791,32036.0,0.030048043443771558,0.8497597827811423,0.1442937243680254,0.2885874487360508,0.6252908491631057,0.15024021721885783,0.0,0.09014413033131474,-0.8007513315130668,0.1363590882420313
30,32047.0,0.02971499713580182,0.7028500286419819,0.3436268846231362,0.6872537692462724,0.6966115248836982,32047.0,0.02971499713580182,0.8514250143209909,0.3436268846231362,0.6872537692462724,0.7857565162911035,0.14857498567900906,0.0,0.0891449914074054,0.8777867121604793,1.8045103935562736
80,32052.0,0.02956361245036103,0.7043638754963897,0.3123638617972219,0.6247277235944438,0.6725094147356113,32052.0,0.02956361245036103,0.8521819377481948,0.3123638617972219,0.6247277235944438,0.7612002520866945,0.14781806225180516,0.0,0.08869083735108318,0.6272286505890418,1.549231087276064
42,32052.0,0.02956361245036103,0.7043638754963897,0.09813713160294114,0.1962742632058823,0.5011280305801867,32052.0,0.02956361245036103,0.8521819377481948,0.09813713160294114,0.1962742632058823,0.5898188679312698,0.14781806225180516,0.0,0.08869083735108307,-1.15439906331557,-0.23239662662854899
40,32054.0,0.029503058576184713,0.7049694142381528,0.20609749044824038,0.41219498089648077,0.587859640901484,32054.0,0.029503058576184713,0.8524847071190764,0.20609749044824038,0.41219498089648077,0.6763688166300382,0.14751529288092358,0.0,0.08850917572855421,-0.2527641431549167,0.6673497956485956
85,32070.0,0.029018627582774188,0.7098137241722582,0.19463688242964572,0.38927376485929144,0.5815977404470715,32070.0,0.029018627582774188,0.8549068620861291,0.19579093876993423,0.39158187753986845,0.6695768682676249,0.1450931379138709,0.0023081126805770125,0.0879791278205534,-0.31786091808337474,0.596742807068607
