DISTRICT,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
53,198551,0.15951968114878018,0.0,586671515.9639232,165347.20945280968,0.2696566453342263,0.5393132906684526,0.21572531626738103,F
54,246407,0.4389943443892374,0.0,1976555659.9010377,256873.74972436376,0.37642586914818765,0.7528517382963753,0.30114069531855014,F
55,160795,0.06097190580597373,0.39028094194026275,2360865955.504978,253640.79504708684,0.46115081648209,0.92230163296418,0.6030892183498296,C
56,131626,0.23131619810079354,0.0,145369651.49766466,57129.80710908761,0.5597035968577918,1.0,0.4,D
57,154689,0.09663038737038011,0.03369612629619889,127694689.51781534,71035.593077344,0.31800260601615143,0.6360052120323029,0.27461976059064047,F
58,138836,0.1892104575047618,0.0,141985552.10625562,78655.58842582576,0.2883997302146999,0.5767994604293998,0.23071978417175992,F
59,259925,0.5179382280753897,0.0,835826066.4642076,225155.5296631158,0.2071860641613097,0.4143721283226194,0.16574885132904776,F
60,165918,0.03105405433947293,0.6894594566052707,114760455.12409739,70491.62596516301,0.2902198208230809,0.5804396416461618,0.6458515306216273,C
61,164224,0.0409468594115503,0.590531405884497,69931833.12124693,57736.37897687719,0.2636244523894962,0.5272489047789924,0.5652184054422952,C
62,210231,0.22772981293264302,0.0,413070473.6360158,119841.6297218236,0.3614253447479603,0.7228506894959206,0.28914027579836826,F
63,149112,0.129199557315466,0.0,506398136.69512165,119796.1217176639,0.44342119312631745,0.8868423862526349,0.35473695450105397,F
64,143153,0.16399957232403095,0.0,618278473.9577069,129122.54028846213,0.4660042390023053,0.9320084780046106,0.37280339120184425,F
65,136453,0.20312695956306187,0.0,1483441524.9069736,155928.25378770498,0.7667091833403215,1.0,0.4,D
66,198712,0.16045990642422556,0.0,94976278.33993673,68738.11401293974,0.2525979301381769,0.5051958602763538,0.2020783441105415,F
67,144499,0.15613905542496595,0.0,2347399560.6392384,246020.55087563104,0.48736474474839014,0.9747294894967803,0.38989179579871214,F
68,153652,0.1026863725296152,0.0,321312731.26078,104531.2601876103,0.36952636131839933,0.7390527226367987,0.29562108905471945,F
69,168281,0.01725435045203561,0.827456495479644,365573262.1836187,94867.5933232475,0.5104444919232947,1.0,0.8964738972877864,A
70,168723,0.014673110875968197,0.853268891240318,619355046.5300465,120599.34295103242,0.5351304467109799,1.0,0.9119613347441908,A
71,163171,0.04709628310747561,0.529037168925244,118552087.86701693,61133.83644716308,0.3986169569760364,0.7972339139520728,0.6363158669359755,C
72,176087,0.028331975635706975,0.7166802436429303,102131801.42748803,71181.88180110457,0.25329809647092044,0.5065961929418409,0.6326466233624946,C
73,194801,0.13762002411200916,0.0,379251860.36970866,143948.01528139974,0.2299991448203809,0.4599982896407618,0.18399931585630472,F
