OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
47,60,220.638916,ORA-WAS-ADD,2, ,Orange-Washington-Addison,8204,8574,-370,-0.043154,ORA-WAS-ADD|-4.,0,ORA-WAS-ADD|-4.32%|8204|2.0,572560194.706375,107556.81653292
48,61,85.593697,WDR-ORA-1,1, ,Windsor-Orange-1,4087,4287,-200,-0.046653,WDR-ORA-1|-4.67,0,WDR-ORA-1|-4.67%|4087|1.0,222107813.799034,64894.8748516414
49,62,186.962021,WDR-ADD,1, ,Windsor-Addison,4118,4287,-169,-0.039422,WDR-ADD|-3.94%,0,WDR-ADD|-3.94%|4118|1.0,485152836.849106,128785.309349316
50,63,173.31781,WDR-ORA-2,2, ,Windsor-Orange-2,9041,8574,467,0.054467,WDR-ORA-2|5.45%,0,WDR-ORA-2|5.45%|9041|2.0,449740655.057571,87346.3729556793
51,64,154.167908,WDR-4,1, ,Windsor-4,4489,4287,202,0.047119,WDR-4|4.71%,0,WDR-4|4.71%|4489|1.0,400035781.205746,103925.98595656
52,66,29.437643,WDR-6,2, ,Windsor-6,9008,8574,434,0.050618,WDR-6|5.06%,0,WDR-6|5.06%|9008|2.0,76384519.2490349,44753.0395899026
53,67,89.89312,WDR-1,2, ,Windsor-1,8349,8574,-225,-0.026242,WDR-1|-2.62%,0,WDR-1|-2.62%|8349|2.0,233245584.961166,68882.6314574894
54,68,134.352478,WDR-5,1, ,Windsor-5,4333,4287,46,0.01073,WDR-5|1.07%,0,WDR-5|1.07%|4333|1.0,348608012.191692,91456.28009403
55,69,178.991257,RUT-11,1, ,Rutland-11,4297,4287,10,0.002333,RUT-11|0.23%,0,RUT-11|0.23%|4297|1.0,464459239.566845,102150.930007995
56,70,40.059223,RUT-9,1, ,Rutland-9,4129,4287,-158,-0.036856,RUT-9|-3.69%,0,RUT-9|-3.69%|4129|1.0,103954075.331715,42684.4143171738
