district_id,base_population,base_pop_dev,base_pop_score,base_pp,base_compactness_score,base_Fairness,opt_population,opt_pop_dev,opt_pop_score,opt_pp,opt_compactness_score,opt_Fairness,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
117,154297,0.09891963151929058,0.01080368480709426,0.24764417820087875,0.4952883564017575,0.20459755344495956,194125,0.13367224593684723,0.0,0.5200370171405266,1.0,0.4,-0.01080368480709426,0.5047116435982425,0.19540244655504047,-101.94649187979063,-7.912742157820866
63,143153,0.16399957232403095,0.0,0.4660042390023053,0.9320084780046106,0.37280339120184425,182499,0.06577746921431388,0.3422253078568612,0.441544937167357,0.883089874334714,0.5585711344480023,0.3422253078568612,-0.04891860366989664,0.18576774324615808,-21.00059827272237,68.39663181724941
41,205150,0.19805723762495406,0.0,0.2763753756035967,0.5527507512071934,0.22110030048287738,198728,0.16055334496091578,0.0,0.49753781642016137,0.9950756328403227,0.3980302531361291,0.0,0.44232488163312933,0.17692995265325173,-94.00485546710922,-8.860645763319988
45,155193,0.09368707346463809,0.06312926535361918,0.21800598051685882,0.43601196103371764,0.21228234362565856,217920,0.27263286972083833,0.0,0.4805894358851487,0.9611788717702974,0.38447154870811895,-0.06312926535361918,0.5251669107365797,0.17218920508246038,-98.24833124128423,-15.385517080008126
37,206151,0.20390298607663615,0.0,0.3024006316002729,0.6048012632005458,0.24192050528021836,141532,0.17346606407245918,0.0,0.59790876687977,1.0,0.4,0.0,0.39519873679945416,0.15807949471978167,-83.98552376686949,-7.912742157820866
33,181611,0.06059163042800649,0.39408369571993507,0.3158865263977304,0.6317730527954608,0.4891594385501454,175274,0.023584129990135014,0.7641587000986498,0.2346966972165817,0.4693933944331634,0.6462525778324553,0.37007500437871477,-0.1623796583622974,0.1570931392823099,34.99355956862209,110.59167618764974
76,227278,0.3272827338675326,0.0,0.2959947016742652,0.5919894033485305,0.2367957613394122,212744,0.2424055031015512,0.0,0.4882443600512396,0.9764887201024792,0.3905954880409917,0.0,0.38449931675394877,0.15379972670157951,-86.45171033523064,-12.43848653513889
84,131439,0.23240826099836054,0.0,0.29981535455770786,0.5996307091154157,0.2398522836461663,144499,0.15613905542496595,0.0,0.48736474474839014,0.9747294894967803,0.38989179579871214,0.0,0.37509878038136457,0.15003951215254585,-84.980816502118,-12.777125182496713
107,182230,0.0642065338162095,0.357934661837905,0.42287789362763306,0.8457557872552661,0.5530631120048495,164756,0.03784002806660038,0.6215997193339962,0.4071025624793615,0.814205124958723,0.6986418815838868,0.26366505749609115,-0.03155066229654313,0.14557876957903737,65.74599968334451,135.80304259540208
106,194760,0.13738058786174046,0.0,0.28741884334570905,0.5748376866914181,0.22993507467656726,138199,0.19293047924674128,0.0,0.4656322119153675,0.931264423830735,0.37250576953229403,0.0,0.35642673713931694,0.14257069485572677,-89.75328666627773,-21.14382309963587
32,213541,0.24705991021043294,0.0,0.282729276570071,0.565458553140142,0.22618342125605684,192287,0.12293849403455785,0.0,0.4311565670977323,0.8623131341954646,0.3449252536781859,0.0,0.2968545810553226,0.11874183242212905,-91.55869926477597,-34.416427259673824
8,150136,0.12321949096729172,0.0,0.23451903630899595,0.4690380726179919,0.18761522904719677,236989,0.38399408572995486,0.0,0.37685914830912887,0.7537182966182577,0.3014873186473031,0.0,0.2846802240002658,0.11387208960010634,-110.11891587073954,-55.32011594497729
104,206384,0.2052636847671875,0.0,0.15892424153810142,0.31784848307620284,0.12713939323048115,131439,0.23240826099836054,0.0,0.29981535455770786,0.5996307091154157,0.2398522836461663,0.0,0.2817822260392129,0.11271289041568514,-139.22177363774367,-84.980816502118
51,131412,0.2325659385290253,0.0,0.21481118288002735,0.4296223657600547,0.1718489463040219,205566,0.20048663957889987,0.0,0.3547406503421243,0.7094813006842486,0.28379252027369944,0.0,0.27985893492419395,0.11194357396967755,-117.70614270262014,-63.83540462727881
13,200538,0.17112357942399725,0.0,0.269462405505133,0.538924811010266,0.2155699244041064,185844,0.08531196329111364,0.14688036708886365,0.28765035846936227,0.5753007169387245,0.318248507028808,0.14688036708886365,0.03637590592845852,0.10267858262470161,-96.66624486743606,-47.254109499836574
53,246407,0.4389943443892374,0.0,0.37642586914818765,0.7528517382963753,0.30114069531855014,182750,0.06724328625864175,0.32756713741358257,0.2539391472384224,0.5078782944768448,0.3996916002388875,0.32756713741358257,-0.24497344381953046,0.09855090492033736,-55.486921898118574,-8.061153738443535
78,162045,0.05367202012705005,0.46327979872949954,0.25843437949751313,0.5168687589950263,0.48471538283571025,164224,0.0409468594115503,0.590531405884497,0.2636244523894962,0.5272489047789924,0.5652184054422952,0.1272516071549975,0.010380145783966177,0.08050302260658493,32.85494139792293,71.59550587451653
58,259925,0.5179382280753897,0.0,0.2071860641613097,0.4143721283226194,0.16574885132904776,196174,0.14563821854173892,0.0,0.30155077845871736,0.6031015569174347,0.2412406227669739,0.0,0.18872942859481534,0.07549177143792613,-120.64169859902694,-84.31270443025369
116,147462,0.13883540641164527,0.0,0.27146651677883893,0.5429330335576779,0.21717321342307117,139339,0.18627298350756288,0.0,0.35133031954495125,0.7026606390899025,0.281064255635961,0.0,0.15972760553222465,0.06389104221288983,-95.89469220267019,-65.14833063533744
59,165918,0.03105405433947293,0.6894594566052707,0.2902198208230809,0.5804396416461618,0.6458515306216273,165656,0.03258411037777533,0.6741588962222467,0.37268260880261417,0.7453652176052283,0.7026414247754393,-0.015300560383024076,0.16492557595906654,0.05678989415381208,110.3986797655754,137.7277474806642
55,131626,0.23131619810079354,0.0,0.5597035968577918,1.0,0.4,158473,0.07453217344314236,0.2546782655685764,0.3683418588072142,0.7366837176144284,0.44748044638691725,0.2546782655685764,-0.2633162823855716,0.04748044638691723,-7.912742157820866,14.936329033194927
65,198712,0.16045990642422556,0.0,0.2525979301381769,0.5051958602763538,0.2020783441105415,116222,0.3212741492993058,0.0,0.30182452370121804,0.6036490474024361,0.24145961896097445,0.0,0.09845318712608231,0.03938127485043294,-103.15881395777029,-84.20731663363308
73,189118,0.10443182386135054,0.0,0.3021228676977648,0.6042457353955296,0.24169829415821187,154689,0.09663038737038011,0.03369612629619889,0.31800260601615143,0.6360052120323029,0.27461976059064047,0.03369612629619889,0.031759476636773254,0.0329214664324286,-84.09245868708459,-68.24962258362144
52,198551,0.15951968114878018,0.0,0.2696566453342263,0.5393132906684526,0.21572531626738103,206151,0.20390298607663615,0.0,0.3024006316002729,0.6048012632005458,0.24192050528021836,0.0,0.06548797253209326,0.026195189012837322,-96.59146545787591,-83.98552376686949
46,110949,0.3520679870472775,0.0,0.4373389644639189,0.8746779289278378,0.3498711715711351,153586,0.10307180649346237,0.0,0.44216421924636296,0.8843284384927259,0.3537313753970904,0.0,0.00965050956488811,0.003860203825955255,-32.0362973611467,-30.178646923062647
