county_id,vtd_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
100,01-BUR,715,969,1032,17,2733,0.4245843230403801,0.5754156769596199,0.37760702524698136,0.0062202707647274055
100,02-CAN,262,480,508,11,1261,0.353099730458221,0.6469002695417789,0.4028548770816812,0.008723235527359239
100,03-EGY,103,181,210,5,499,0.3626760563380282,0.6373239436619719,0.42084168336673344,0.01002004008016032
100,04-RAM,52,137,104,1,294,0.2751322751322751,0.7248677248677249,0.35374149659863946,0.003401360544217687
100,05-GRE,89,191,131,3,414,0.31785714285714284,0.6821428571428572,0.3164251207729469,0.007246376811594203
100,06-JAC,345,467,524,5,1341,0.4248768472906404,0.5751231527093597,0.3907531692766592,0.0037285607755406414
100,07-BRU,84,153,165,1,403,0.35443037974683544,0.6455696202531646,0.4094292803970223,0.0024813895781637717
100,08-CRA,473,963,761,8,2205,0.3293871866295265,0.6706128133704735,0.34512471655328797,0.0036281179138321997
100,09-SOU,483,621,629,8,1741,0.4375,0.5625,0.36128661688684666,0.004595060310166571
100,10-PEN,90,209,191,4,494,0.3010033444816054,0.6989966555183946,0.3866396761133603,0.008097165991902834
100,11-PRI,182,530,384,7,1103,0.2556179775280899,0.7443820224719101,0.34814143245693563,0.006346328195829556
11,,13,22,43,1,79,0.37142857142857144,0.6285714285714286,0.5443037974683544,0.012658227848101266
11,01.1,877,111,846,18,1852,0.8876518218623481,0.11234817813765183,0.45680345572354214,0.009719222462203024
11,02.1,1425,90,1254,18,2787,0.9405940594059405,0.0594059405940594,0.44994617868675996,0.006458557588805167
11,03.1,990,81,874,14,1959,0.9243697478991597,0.07563025210084033,0.4461459928534967,0.0071465033180193975
11,04.1,644,80,578,7,1309,0.8895027624309392,0.11049723756906077,0.44155844155844154,0.0053475935828877
11,05.1,1109,251,1139,14,2513,0.8154411764705882,0.18455882352941178,0.4532431356943892,0.005571030640668524
11,06.1,611,145,557,3,1316,0.8082010582010583,0.1917989417989418,0.42325227963525835,0.0022796352583586625
11,07.1,864,101,766,6,1737,0.8953367875647669,0.10466321243523316,0.4409902130109384,0.0034542314335060447
11,09.1,1444,381,1566,27,3418,0.7912328767123288,0.20876712328767122,0.45816266822703333,0.007899356348741955
11,10.1,802,79,514,9,1404,0.9103291713961408,0.08967082860385925,0.3660968660968661,0.00641025641025641
11,100.1,2646,881,2714,47,6288,0.7502126453076269,0.24978735469237312,0.43161577608142493,0.007474554707379135
11,101.1,2806,1787,4108,56,8757,0.6109296755932941,0.38907032440670586,0.46911042594495833,0.006394884092725819
11,102.1,1719,848,2199,33,4799,0.6696532917802883,0.33034670821971174,0.4582204625963742,0.006876432590122942
11,103.1,1646,530,1703,21,3900,0.7564338235294118,0.24356617647058823,0.43666666666666665,0.005384615384615384
11,104.1,1327,316,1329,10,2982,0.8076688983566647,0.19233110164333536,0.44567404426559354,0.00335345405767941
11,105.1,1007,585,1350,33,2975,0.632537688442211,0.36746231155778897,0.453781512605042,0.011092436974789916
11,106.1,1805,490,1967,40,4302,0.7864923747276689,0.21350762527233116,0.4572291957229196,0.009298000929800094
11,107.1,1307,1820,2383,37,5547,0.41797249760153504,0.582027502398465,0.4296015864431224,0.006670272219217595
11,11.1,775,151,1107,36,2069,0.8369330453563715,0.1630669546436285,0.5350410826486225,0.017399710004833254
11,12.1,1087,94,1045,21,2247,0.9204064352243861,0.07959356477561388,0.4650645304850912,0.009345794392523364
11,13.1,980,123,963,20,2086,0.8884859474161378,0.1115140525838622,0.46164908916586767,0.009587727708533078
11,14.2,982,185,1016,12,2195,0.8414738646101114,0.1585261353898886,0.46287015945330295,0.005466970387243736
11,15.1,1002,143,890,17,2052,0.8751091703056768,0.12489082969432315,0.4337231968810916,0.008284600389863547
11,17.1,640,101,652,10,1403,0.863697705802969,0.13630229419703105,0.4647184604419102,0.007127583749109052
11,19.1,518,218,638,18,1392,0.7038043478260869,0.296195652173913,0.4583333333333333,0.01293103448275862
11,20.1,431,75,470,7,983,0.8517786561264822,0.1482213438735178,0.47812817904374366,0.007121057985757884
11,24.1,767,467,1041,15,2290,0.6215559157212318,0.37844408427876824,0.45458515283842793,0.006550218340611353
11,25.1,844,265,979,20,2108,0.7610459873760145,0.23895401262398558,0.4644212523719165,0.009487666034155597
11,26.1,742,181,843,27,1793,0.8039003250270856,0.19609967497291442,0.4701617401003904,0.01505856107083101
11,28.1,878,86,904,19,1887,0.9107883817427386,0.08921161825726141,0.4790673025967144,0.010068892421833599
11,30.1,1646,1727,2977,49,6399,0.4879928846723985,0.5120071153276016,0.46522894202219095,0.007657446476011877
11,31.1,331,367,524,4,1226,0.47421203438395415,0.5257879656160458,0.4274061990212072,0.0032626427406199023
11,32.1,584,555,889,14,2042,0.5127304653204565,0.4872695346795435,0.43535749265426055,0.0068560235063663075
11,33.2,443,295,579,8,1325,0.6002710027100271,0.3997289972899729,0.4369811320754717,0.0060377358490566035
11,33.3,583,422,783,22,1810,0.5800995024875621,0.4199004975124378,0.4325966850828729,0.012154696132596685
11,34.1,387,199,478,12,1076,0.6604095563139932,0.3395904436860068,0.44423791821561337,0.011152416356877323
11,35.1,735,288,694,8,1725,0.718475073313783,0.28152492668621704,0.4023188405797101,0.00463768115942029
11,36.1,490,493,820,13,1816,0.49847405900305186,0.5015259409969481,0.45154185022026433,0.007158590308370044
11,37.1,305,436,645,11,1397,0.4116059379217274,0.5883940620782726,0.4617036506800286,0.007874015748031496
11,38.2,368,686,798,9,1861,0.349146110056926,0.650853889943074,0.4288017195056421,0.004836109618484685
11,38.3,721,1030,1370,20,3141,0.4117647058823529,0.5882352941176471,0.43616682585163963,0.006367398917542184
11,39.1,1122,1097,1957,35,4211,0.5056331680937359,0.49436683190626407,0.4647352172880551,0.008311564948943244
11,41.1,710,1076,1305,21,3112,0.3975363941769317,0.6024636058230683,0.4193444730077121,0.006748071979434447
11,44.1,1671,1389,2625,38,5723,0.546078431372549,0.453921568627451,0.4586755198322558,0.006639874191857418
11,45.1,1242,1087,1882,34,4245,0.5332760841562902,0.46672391584370976,0.4433451118963486,0.00800942285041225
11,46.1,445,317,596,5,1363,0.583989501312336,0.41601049868766404,0.4372707263389582,0.003668378576669112
11,47.1,807,1409,1632,32,3880,0.3641696750902527,0.6358303249097473,0.42061855670103093,0.008247422680412371
11,48.1,889,1166,1504,21,3580,0.43260340632603406,0.5673965936739659,0.4201117318435754,0.005865921787709497
11,49.1,819,1360,1684,32,3895,0.3758604864616797,0.6241395135383203,0.4323491655969191,0.008215661103979461
11,50.1,377,420,547,11,1355,0.4730238393977415,0.5269761606022585,0.40369003690036903,0.008118081180811807
11,52.1,782,1412,1635,26,3855,0.35642661804922515,0.6435733819507748,0.42412451361867703,0.006744487678339819
11,53.1,608,1062,1270,16,2956,0.36407185628742517,0.6359281437125749,0.42963464140730717,0.005412719891745603
11,55.1,749,811,1350,17,2927,0.48012820512820514,0.5198717948717949,0.4612230953194397,0.0058079945336522035
11,57.1,710,773,1302,11,2796,0.4787592717464599,0.5212407282535402,0.4656652360515021,0.003934191702432046
11,58.1,774,565,1167,14,2520,0.5780433159073936,0.42195668409260645,0.4630952380952381,0.005555555555555556
11,59.1,1228,865,1690,22,3805,0.5867176301958911,0.41328236980410893,0.44415243101182655,0.005781865965834429
11,60.2,404,182,566,10,1162,0.689419795221843,0.310580204778157,0.48709122203098104,0.008605851979345954
11,61.1,764,521,984,16,2285,0.5945525291828794,0.4054474708171206,0.43063457330415755,0.00700218818380744
