county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
10,SB08,346,879,814,6,2045,0.28244897959183674,0.7175510204081633,0.3980440097799511,0.00293398533007335
10,WB01,273,916,639,5,1833,0.22960470984020184,0.7703952901597981,0.3486088379705401,0.002727768685215494
10,WB02,1185,3437,2576,14,7212,0.25638251839030723,0.7436174816096928,0.35718247365501943,0.0019412090959511925
10,WB03,344,572,529,4,1449,0.37554585152838427,0.6244541484716157,0.36507936507936506,0.0027605244996549345
10,WB04,1230,3418,2699,21,7368,0.2646299483648881,0.7353700516351118,0.36631378935939196,0.0028501628664495114
10,WB05,807,2154,1920,21,4902,0.2725430597771023,0.7274569402228976,0.39167686658506734,0.004283965728274173
10,WB06,1084,3568,2701,21,7374,0.23301805674978504,0.766981943250215,0.3662869541632764,0.0028478437754271765
100,01 BUR,715,969,1032,17,2733,0.4245843230403801,0.5754156769596199,0.37760702524698136,0.0062202707647274055
100,02 CAN,262,480,508,11,1261,0.353099730458221,0.6469002695417789,0.4028548770816812,0.008723235527359239
100,03 EGY,103,181,210,5,499,0.3626760563380282,0.6373239436619719,0.42084168336673344,0.01002004008016032
100,04 RAM,52,137,104,1,294,0.2751322751322751,0.7248677248677249,0.35374149659863946,0.003401360544217687
100,05 GRE,89,191,131,3,414,0.31785714285714284,0.6821428571428572,0.3164251207729469,0.007246376811594203
100,06 JAC,345,467,524,5,1341,0.4248768472906404,0.5751231527093597,0.3907531692766592,0.0037285607755406414
100,07 BRU,84,153,165,1,403,0.35443037974683544,0.6455696202531646,0.4094292803970223,0.0024813895781637717
100,08 CRA,473,963,761,8,2205,0.3293871866295265,0.6706128133704735,0.34512471655328797,0.0036281179138321997
100,09 SOU,483,621,629,8,1741,0.4375,0.5625,0.36128661688684666,0.004595060310166571
100,10 PEN,90,209,191,4,494,0.3010033444816054,0.6989966555183946,0.3866396761133603,0.008097165991902834
100,11 PRI,182,530,384,7,1103,0.2556179775280899,0.7443820224719101,0.34814143245693563,0.006346328195829556
11,,13,22,43,1,79,0.37142857142857144,0.6285714285714286,0.5443037974683544,0.012658227848101266
11,01.1,875,111,845,18,1849,0.8874239350912779,0.11257606490872211,0.4570037858301785,0.009734991887506761
11,02.1,1425,90,1254,18,2787,0.9405940594059405,0.0594059405940594,0.44994617868675996,0.006458557588805167
11,03.1,988,81,874,14,1957,0.9242282507015903,0.07577174929840973,0.44660194174757284,0.007153806847215125
11,04.1,644,80,578,7,1309,0.8895027624309392,0.11049723756906077,0.44155844155844154,0.0053475935828877
