house_id,base_Fairness,base_pop_score,base_compactness_score,opt_Fairness,opt_pop_score,opt_compactness_score,delta_pop_score,delta_compactness_score,delta_fairness,frontier_relative_base,frontier_relative_opt
CAL-ESX,0.29707990778122595,0.0,0.7426997694530648,0.29707990778122595,0.0,0.7426997694530648,0.0,0.0,0.0,-2.105545135107679,-2.105545135107679
CAL-WAS,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-1,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-10,0.24006896448023937,0.0,0.6001724112005984,0.24006896448023937,0.0,0.6001724112005984,0.0,0.0,0.0,-3.2139215928084197,-3.2139215928084197
CHI-11,0.3436094109041825,0.0,0.8590235272604563,0.3436094109041825,0.0,0.8590235272604563,0.0,0.0,0.0,-1.2009432663449553,-1.2009432663449553
CHI-12,0.207967367612694,0.0,0.519918419031735,0.207967367612694,0.0,0.519918419031735,0.0,0.0,0.0,-3.838023776747751,-3.838023776747751
CHI-13,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-14,0.6894800149658797,0.5164507214024081,0.9490239553110874,0.6894800149658797,0.5164507214024081,0.9490239553110874,0.0,0.0,0.0,5.5232891837096885,5.5232891837096885
CHI-15,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-16,0.2622811113481111,0.0,0.6557027783702777,0.7901754824847914,0.8444352168294256,0.7087858809678401,0.8444352168294256,0.05308310259756244,0.5278943711366804,-2.782084839408933,7.48095694243979
CHI-17,0.25275219079297,0.0,0.631880476982425,0.25275468227056946,0.0,0.6318867056764237,0.0,6.228693998688861e-06,2.49147759945334e-06,-2.967341048113627,-2.9672926101303867
CHI-18,0.7936812306972268,0.9345543211804005,0.5823715949724665,0.7936812306972268,0.9345543211804005,0.5823715949724665,0.0,0.0,0.0,7.549113835841388,7.549113835841388
CHI-19,0.2362531852872783,0.0,0.5906329632181957,0.7668259213617983,0.8842878874201908,0.5906329722742094,0.8842878874201908,9.056013716701727e-09,0.53057273607452,-3.2881059437484472,7.0270071856406915
CHI-2,0.31897685371896145,0.0,0.7974421342974035,0.31897685371896145,0.0,0.7974421342974035,0.0,0.0,0.0,-1.6798363506590641,-1.6798363506590641
CHI-20,0.27532803723889543,0.0,0.6883200930972385,0.27532803723889543,0.0,0.6883200930972385,0.0,0.0,0.0,-2.5284334408280333,-2.5284334408280333
CHI-21,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-22,0.5376400765679972,0.43675355428930107,0.6889698599860414,0.5376400765679972,0.43675355428930107,0.6889698599860414,0.0,0.0,0.0,2.5712978060116565,2.5712978060116565
CHI-23,0.16959542968636684,0.0,0.42398857421591707,0.16959542968636684,0.0,0.42398857421591707,0.0,0.0,0.0,-4.584030598795181,-4.584030598795181
CHI-24,0.37588810060726585,0.0,0.9397202515181646,0.37588810060726585,0.0,0.9397202515181646,0.0,0.0,0.0,-0.5733981376239268,-0.5733981376239268
CHI-25,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
CHI-3,0.4,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,-0.10462740537588028,-0.10462740537588028
