house_id,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
40,32036.0,0.030048043443771558,0.6995195655622845,95980687.1884328,91426.7196897241,0.1442937243680254,0.2885874487360508,0.535146718831791,D
41,32054.0,0.029503058576184713,0.7049694142381528,38255834.60643467,48296.69592357309,0.20609749044824038,0.41219498089648077,0.587859640901484,C
42,31911.0,0.033832660579791306,0.6616733942020869,41005997.767238416,65760.59859144727,0.11915869334252537,0.23831738668505073,0.49233099119527246,D
43,32052.0,0.02956361245036103,0.7043638754963897,85673972.63992459,104740.0325711774,0.09813713160294114,0.1962742632058823,0.5011280305801867,D
44,31757.0,0.03849530889136763,0.6150469110863237,39879249.354272686,48117.724458378165,0.21644456115213492,0.43288912230426985,0.5421837955735022,D
45,31630.0,0.04234047990156369,0.5765952009843631,865317803.5537177,404706.0622612883,0.06639052201364162,0.13278104402728325,0.3990695382015311,F
46,31678.0,0.04088718692133211,0.5911281307866789,368160975.57469755,138447.45443453832,0.24136687419906755,0.4827337483981351,0.5477703778312614,D
47,31831.0,0.03625481554684394,0.6374518445315607,3589084233.1591954,430201.27791837225,0.2436969662716715,0.487393932543343,0.5774286797362737,C
48,32034.0,0.030108597317947874,0.6989140268205213,1547174530.850862,253300.62077255352,0.30302374645553953,0.6060474929110791,0.6617674132567444,C
49,31961.0,0.03231881372538341,0.6768118627461659,112541917.31767583,94903.57483960036,0.15702146687347027,0.31404293374694053,0.5317042911464758,D
50,31777.0,0.03788977014960447,0.6211022985039554,25330541.637088336,34643.96957126388,0.2652155863589109,0.5304311727178218,0.5848338481895019,C
51,31906.0,0.03398404526523209,0.6601595473476791,2185886860.4018917,432865.7744963555,0.14659901291425884,0.29319802582851767,0.5133749387400145,D
52,4421.0,0.8661456611332536,0.0,348429282.4723788,124247.24134027859,0.2836292397293832,0.5672584794587664,0.22690339178350658,F
53,31781.0,0.03776866240125184,0.6223133759874817,3014074231.3410034,319240.64694658807,0.3716442719719198,0.7432885439438396,0.6707034431700248,C
54,31862.0,0.035316230497111044,0.6468376950288897,3062076283.8443666,349276.37353235023,0.31541871017813866,0.6308374203562773,0.6404375851598447,C
55,47929.0,0.45114331769832294,0.0,3656148327.8137994,425422.7939606341,0.25385876302196014,0.5077175260439203,0.20308701041756813,F
56,32033.0,0.03013887425503603,0.6986112574496397,3655602781.749886,480077.58226907597,0.19931776558643924,0.3986355311728785,0.5786209669389352,C
57,31918.0,0.033620722020174194,0.6637927797982581,1886459827.918044,270976.83630753035,0.32284427490631756,0.6456885498126351,0.6565510878040088,C
58,32185.0,0.02553677981763602,0.7446322018236398,3153416797.083649,375544.01461705874,0.2809762108015132,0.5619524216030264,0.6715602897353944,C
59,32090.0,0.028413088841011028,0.7158691115898898,936034355.7454803,139067.6500568528,0.6082042086280512,1.0,0.8295214669539339,B
60,31903.0,0.03407487607649656,0.6592512392350344,3024091448.5267906,346595.3599086243,0.3163437770261,0.6326875540522,0.6486257651619006,C
61,32126.0,0.027323119105837342,0.7267688089416267,60108034.189343065,55924.910067435,0.24150815492990582,0.48301630985981164,0.6292678093089006,C
62,32180.0,0.025688164503076812,0.743118354969232,83193472.20523362,57135.157755817105,0.32025229666488264,0.6405045933297653,0.7020728503134452,B
63,31873.0,0.03498318418914131,0.650168158108587,3394636026.975416,267805.4381198501,0.5947908744506859,1.0,0.7901008948651522,B
64,31920.0,0.03356016814599788,0.6643983185400212,3853366035.7613144,328261.0673664672,0.44937755246329997,0.8987551049265999,0.7581410330946527,B
65,31763.0,0.03831364726883868,0.6168635273116132,1215976002.329977,267173.4749629268,0.21406624444122396,0.4281324888824479,0.5413711119399471,D
66,31980.0,0.0317435519207084,0.6825644807929161,2895958582.6843786,304738.53566786717,0.3918749093669095,0.783749818733819,0.7230386159692772,B
67,67260.0,1.0364267885495044,0.0,2426615328.440402,266095.2401830047,0.43066203517933316,0.8613240703586663,0.34452962814346655,F
68,57904.0,0.7531557651526986,0.0,2694482972.5268407,290476.38992464944,0.4012948909059279,0.8025897818118558,0.32103591272474236,F
69,32007.0,0.03092607461932814,0.6907392538067186,598285297.4085449,111057.95072949902,0.6095634008891204,1.0,0.8144435522840312,B
70,31800.0,0.03719340059657684,0.6280659940342317,1904901481.712524,220072.95451817216,0.4942526832076882,0.9885053664153765,0.7722417429866896,B
71,32131.0,0.02717173442039655,0.7282826557960345,35488673.40578776,56905.943542877416,0.13771599114344973,0.27543198228689947,0.5471423863923804,D
72,32168.0,0.026051487748134705,0.739485122518653,155028126.61048135,107442.69803330183,0.1687588479394294,0.3375176958788588,0.5786981518627353,C
73,31665.0,0.04128078710347816,0.5871921289652184,50675131.78807887,79248.10818923666,0.10139742910608981,0.20279485821217963,0.4334332206640029,D
74,31713.0,0.03982749412324658,0.6017250587675342,28662750.496922735,36330.31672813614,0.2728910919667059,0.5457821839334118,0.5793479088338853,C
75,31757.0,0.03849530889136763,0.6150469110863237,52569689.26060861,41020.24320278921,0.39259865924932313,0.7851973184986463,0.6831070740512528,C
76,31626.0,0.042461587649916324,0.5753841235008368,1146719413.8354535,249606.28576928706,0.2312895405488447,0.4625790810976894,0.5302621065395778,D
77,31963.0,0.03225825985120709,0.6774174014879291,120866700.62336317,81264.7747888428,0.22999153872190511,0.45998307744381023,0.5904436718702816,C
78,31973.0,0.03195549048032551,0.6804450951967449,32222433.945428204,58425.06463579906,0.118623245775561,0.237246491551122,0.5031656537384958,D
79,32066.0,0.029139735331126817,0.7086026466887319,25958128.051115774,44819.51961384144,0.1623860955985617,0.3247721911971234,0.5550704644920885,C
80,32079.0,0.028746135148980764,0.7125386485101923,59318615.70253726,68872.34132959985,0.15714883912455557,0.31429767824911115,0.5532422604057599,C
