county,path,raw_rows,clean_rows,raw_crs,minx,miny,maxx,maxy
Harrison,/Users/kunsel03/Desktop/Thesis/data/extracted/Harrison/Harrison_County_-_Precincts_Approved.shp,11,11,EPSG:4326,-96.1390201472912,41.50597531236937,-95.49780094397767,41.86631533253554
Cedar,/Users/kunsel03/Desktop/Thesis/data/extracted/Cedar/Cedar_County_Final_Precincts_2.shp,12,12,EPSG:4326,-91.3665488029311,41.59714061826274,-90.89807870208112,41.947417648122425
Taylor,/Users/kunsel03/Desktop/Thesis/data/extracted/Taylor/Taylor_Co_Precinct_Plan_-_SOS_Adjusted_-_Final.shp,5,5,EPSG:4326,-94.92894569560247,40.57071323259963,-94.47078658758475,40.90079226475384
Clinton,/Users/kunsel03/Desktop/Thesis/data/extracted/Clinton/CC_Redistricting_Corrections.shp,24,24,EPSG:4326,-90.8989477021283,41.72769867197309,-90.1400674937468,42.03360372408384
Crawford,/Users/kunsel03/Desktop/Thesis/data/extracted/Crawford/County_Crawford_Precinct_Map.shp,8,8,EPSG:4326,-95.67277902151561,41.86315336269089,-95.09085890481425,42.211415416291445
Grundy,/Users/kunsel03/Desktop/Thesis/data/extracted/Grundy/County_Grundy_Precincts.shp,7,7,EPSG:4326,-93.02712236542139,42.209274589098854,-92.53351720694468,42.556817642442425
Jasper,/Users/kunsel03/Desktop/Thesis/data/extracted/Jasper/JasperCountyPrecincts.shp,20,20,EPSG:6465,-93.34868102532339,41.50782395293014,-92.75650802535117,41.863104952687856
Bremer,/Users/kunsel03/Desktop/Thesis/data/extracted/Bremer/County_Bremer_Precincts.shp,14,14,EPSG:4326,-92.55480626009148,42.64195971314374,-92.0814081441307,42.907278730900536
Palo Alto,/Users/kunsel03/Desktop/Thesis/data/extracted/Palo Alto/Palo_Alto_Revised_Precinct_Plan_-_SOS.shp,8,8,EPSG:4326,-94.9139309423364,42.90801460404623,-94.44257483126962,43.25551864705662
Story,/Users/kunsel03/Desktop/Thesis/data/extracted/Story/Story_County_Final_Aug_2022.shp,45,45,EPSG:4326,-93.69877450246382,41.862579517879844,-93.23145035679926,42.209404548707184
Polk,/Users/kunsel03/Desktop/Thesis/data/extracted/Polk/PolkCo2022-03-07.shp,5,5,EPSG:4326,-93.815792,41.481777,-93.328414,41.863476
Pottawattamie,/Users/kunsel03/Desktop/Thesis/data/extracted/Pottawattamie/Pottawattamie_Final.shp,40,40,EPSG:4326,-96.01955107147587,41.1592432858823,-95.15462182689875,41.50696728641873
Adair,/Users/kunsel03/Desktop/Thesis/data/extracted/Adair/Adair_County_Final_Precinct_Plan.shp,5,5,EPSG:4326,-94.70073070863117,41.15714134300531,-94.24129558076335,41.50416036945686
Jackson,/Users/kunsel03/Desktop/Thesis/data/extracted/Jackson/Jackson_Co_Supervisor_Districts_-_SOS_REVISED.shp,3,3,EPSG:4326,-90.8986607254851,42.03271670632817,-90.1542275009951,42.3823157640674
